_costPrice,_carriage,_carriageKnown,_profit,_marginPct,_supplier,_supplierSku,_marketplacePermitted,_stockQty,_photoCount,Title,Description,KaikuCategory,eBayCategoryID,ConditionID,StartPrice,Quantity,Format,Duration,Location,PostalCode,HandlingTimeDays,CustomLabel,EAN,MPN,C:Brand,C:Colour,C:Material,C:Room,C:Style,C:Length,C:Width,C:Height,C:Unit,C:Weight,PicURLs
34.24,,NO — margin overstated,53.23,59.8,"Aosom","83D-219V00BK",NOT PERMITTED — ask supplier,,4,"3ft Single Bed Frame with Headboard and Footboard, Black 196x96cm","<p>A single bed frame in black metal with a painted finish, a diamond-pattern headboard and footboard, and snap-in slats. 196 x 96 x 88.5cm, weight capacity 136kg.</p><ul><li>Stylish diamond headboard</li><li>Generous underbed storage</li><li>Easy assembly with snap-in slats</li></ul><ul><li>Dimensions: 196 x 96 x 88.5 cm</li><li>Weight: 136kg</li><li>Colour: Black</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",beds,FILL,1000,89.00,1,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-BEDS-FT-006",,,"Kaiku","Black","","","Industrial",196,96,88.5,cm,136kg,"https://cdn.sanity.io/images/huh1e45n/production/c909aa9387dc91b6afe997abe0cd87bc7e90efa4-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/faecc95431216f62ab3bf09ff710fdb352d3eee8-800x800.jpg | https://cdn.sanity.io/images/huh1e45n/production/0a72c6ef157e6e58dea54855767e3290585ef7f3-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/313b0e146b2b9bb039e340f663b7d0a060ada43a-2000x2000.jpg"
12.19,,NO — margin overstated,19.13,59.8,"Premier Housewares","2201095",NOT PERMITTED — ask supplier,,3,"Glass Elko Pink Finish Embossed Effect Wall Clock 16x4cm","<p>The Elko Pink Finish Embossed Effect Wall Clock features an embossed design, made from plastic and glass.</p><ul><li>Dimensions: 16 x 4 x 16 cm</li><li>Material: Glass, Plastic</li><li>Colour: Pink</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",wall-clocks,FILL,1000,32.00,1,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-CLK-ELKO-001",5018705447506,,"Kaiku","Pink","Glass","","Modern",16,4,16,cm,,"https://cdn.sanity.io/images/huh1e45n/production/ecafb00e97cf78afb378fbb8e645bbdc3f490a3b-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/9f8f095329aabbe8f5ef360938478dd83b1d42ae-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/abd39dd379d7023ced2e58c0e493e871e39292eb-1280x1280.jpg"
12.08,,NO — margin overstated,18.26,58.9,"AW Dropship","CSalt-03",NOT PERMITTED — ask supplier,45,4,"Himalayan Salt Cooking Plate - Round - 20x20x5cm 20x20cm","<p>A round cooking and serving plate cut from genuine Himalayan salt, in natural pink and rose tones. 20 x 20 x 5cm, 3.7kg.</p><ul><li>Natural Himalayan salt</li><li>Round shape</li><li>Handcrafted</li><li>Sustainable sourcing</li><li>Delicate infusion of flavour</li></ul><ul><li>Dimensions: 20 x 20 x 5 cm</li><li>Weight: 3.7kg</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",wellness-accessories,FILL,1000,31.00,5,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-WELL-HIMALAYAN-001",5056422953467,,"Kaiku","","","","Rustic",20,20,5,cm,3.7kg,"https://cdn.sanity.io/images/huh1e45n/production/b0d475bbf8b7cf30c0aa6b67fefb826fdcb75115-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/1cda7de5237f4f0b8dd26b69010edac526c796f1-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/51f69b2e0f0067073bf3fa39ba421cf98c4b3b53-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/5befb098beedbf7ea80a52e84bf67c200ea541d4-2000x2000.jpg"
12.08,,NO — margin overstated,18.26,58.9,"AW Dropship","CSalt-04",NOT PERMITTED — ask supplier,111,4,"Himalayan Salt Cooking Plate - Square - 20x20x5cm 20x20cm","<p>A square Himalayan salt cooking and serving plate, 20 × 20 × 5cm. Usable on the hob, in the oven or on the grill, and can also be chilled for serving cold food.</p><ul><li>Natural Himalayan salt infusion</li><li>Unique handcrafted design</li><li>Versatile cooking & serving</li><li>Sustainable material source</li><li>Adds mineral-rich flavours</li></ul><ul><li>Dimensions: 20 x 20 x 5 cm</li><li>Weight: 4.8kg</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",wellness-accessories,FILL,1000,31.00,5,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-WELL-HIMALAYAN-002",5056422953474,,"Kaiku","","","","Natural",20,20,5,cm,4.8kg,"https://cdn.sanity.io/images/huh1e45n/production/f10f6936596ec462ba1a9d78be5b29b7a0beed80-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/a39609b98a9b49fac0bcf26b6d7ccf9423a3c0a9-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/d6471706763ddf1d770c5ad91e649a4f3e3e62bb-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/56de91f2fe3b23412dcd253cdef0dc730998c11b-2000x2000.jpg"
23.44,,NO — margin overstated,34.48,58.4,"Aosom","842-108",NOT PERMITTED — ask supplier,,5,"1.6m Dimmable Solar Bollard Light, Black 18x18cm","<p>A 160cm solar bollard light with a hexagonal head in 201 stainless steel on a plastic base, rated IP44. The dimmable LED unit lifts out, runs up to six hours on a full charge and needs no wiring; 18 x 18cm footprint, 1.1kg.</p><ul><li>Dimensions: 18 x 18 x 160 cm</li><li>Weight: 0.02kg</li><li>Colour: Black</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",garden-lighting,FILL,1000,59.00,1,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-GARL-DIMMABLE-001",,,"Kaiku","Black","","","Modern",18,18,160,cm,0.02kg,"https://cdn.sanity.io/images/huh1e45n/production/6f441db5385b2059e13632d898c297246512082d-800x800.webp | https://cdn.sanity.io/images/huh1e45n/production/f2a88f744048d16a717c966365c027c65519f441-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/810371ebf94d5a9dff31da998778fbf313aaf8d4-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/80dbbd9c3a3598a73e0ff6757268af174a6a6a02-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/751c963dadc8425ffe4416d27e961de43a5fafb3-2000x2000.jpg"
23.44,,NO — margin overstated,31.77,56.5,"Aosom","B30-P011",NOT PERMITTED — ask supplier,,4,"1.6m Dimmable Solar Bollard Lights, Set of 2, Black 18x18cm","<p>Brighten up your outdoor space with this set of two solar garden lamps. Crafted from durable stainless steel and plastic, they stand at an 1.6 metres tall, making them perfect for pathways, patios, and gardens. The black design complements any outdoor decor, and their solar power capability means you can enjoy illumination without the hassle of wiring or plugs. With a dimmable feature and sensor control, these lights automatically adjust to the ambient light levels for optimal performance. Easy to install and maintain, these solar post lamps provide up to 6 hours of lighting when fully charged, making them a practical and delightful addition to your outdoor ambiance.</p><ul><li>Dimensions: 18 x 18 x 160 cm</li><li>Weight: 0.04kg</li><li>Colour: Black</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",garden-lighting,FILL,1000,56.25,1,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-GARL-DIMMABLE-003",,,"Kaiku","Black","","","Modern",18,18,160,cm,0.04kg,"https://cdn.sanity.io/images/huh1e45n/production/d7cf8f67997971c89e42ce0f139bb31315070de2-1600x1600.jpg | https://cdn.sanity.io/images/huh1e45n/production/edca289f24035ed849dfb422cb2a0676553e26c8-800x800.jpg | https://cdn.sanity.io/images/huh1e45n/production/1c071436ec83c17a51ad50dd3d4fdffa9f03ca13-1600x1600.jpg | https://cdn.sanity.io/images/huh1e45n/production/5dbbd20417ed37a3f16b2cb0ccd5fade39b2fb19-2000x2000.jpg"
20.46,,NO — margin overstated,27.61,56.3,"Premier Housewares","1102243",NOT PERMITTED — ask supplier,,8,"Cassini Tri Fold Illuminated Pink LED Table Mirror 18x6cm","<p>The Cassini Tri Fold Illuminated Pink LED Table Mirror is a functional addition to any vanity or dressing area, featuring a durable design made from polystyrene and glass. Its adjustable base and touch sensor switch offer convenience for your daily make-up or grooming rituals.</p><ul><li>Dimensions: 18 x 6 x 28 cm</li><li>Colour: Pink</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",mirrors,FILL,1000,49.00,1,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-MIR-CASSINI-004",5018705981574,,"Kaiku","Pink","","","Modern",18,6,28,cm,,"https://cdn.sanity.io/images/huh1e45n/production/d3a5322c4365e31000d0e628f505bc0c797273aa-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/30202d2fec35a2a7f941195167edbcb917fe0cd5-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/2fad04ad4ee506c77183f341977d4972e8d804a4-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/770e032941ba31f8c5df593c1cf1e41ec4a4fbf6-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/36421111570753239a235c35e7c559dd15bbb9bf-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/fb3ea855e5811cf31e2d1d3591c41475b3c8060e-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/4183dfac645ae0d9347817606758e90664b42af6-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/77344f49f34e3222106095dcde0328779a57a5e0-1280x1280.jpg"
20.46,,NO — margin overstated,27.61,56.3,"Premier Housewares","1102245",NOT PERMITTED — ask supplier,,8,"Cassini Tri Fold Black LED Table Mirror 18x6cm","<p>A table mirror in polystyrene and glass, 18 x 6 x 28cm. Arrives assembled.</p><ul><li>Dimensions: 18 x 6 x 28 cm</li><li>Colour: Black</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",mirrors,FILL,1000,49.00,1,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-MIR-CASSINI-006",5018705981598,,"Kaiku","Black","","","Modern",18,6,28,cm,,"https://cdn.sanity.io/images/huh1e45n/production/b95119d36764b31552d1a4142eadfbcfcdf842a8-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/3616520b6a85fa36d1d25fce9897f6f1a4f844b6-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/f4e85f56b706a0bfbbf6308e6f3b14551b01f6b4-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/3e87ebef4916087843caae51e44a2496b0509e11-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/1db6637a62b36437a3b5130c9d75e2ae2d804fd8-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/0e9af896b3a355d6e7990ef233770a46b1fa7d76-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/37661f05c0206b071f991758c76d5a6987466642-1280x1280.jpg | https://cdn.sanity.io/images/huh1e45n/production/1696e335d3e43334fe4c91f36f7a586415539560-1280x1280.jpg"
19.10,0.00,yes,25.02,55.6,"AW Dropship","WaterF-19",NOT PERMITTED — ask supplier,86,3,"Tabletop Water Feature - 19x19x28cm - Buddha, Lotus Flower Cascading Potsx","<p>A tabletop water feature with a Buddha figure and cascading lotus-flower pots, 19 x 19 x 28cm and 1.27kg. Includes a pump; suitable for indoor or outdoor use.</p><ul><li>Dimensions: 19 x 19 x 28 cm</li><li>Weight: 1.27kg</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",water-features,FILL,1000,45.00,5,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-WATR-TABLETOP-004",5056368360077,,"Kaiku","","","","Modern",19,19,28,cm,1.27kg,"https://cdn.sanity.io/images/huh1e45n/production/53814342b0cc49087112b235d8c8fb2bb9e22131-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/c6d1693b008d6e2700cd0e86b4340e587ab7a4c1-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/8a34980b178b6a27fc10d452be152a3fefdb18dc-2000x2000.jpg"
16.67,,NO — margin overstated,21.54,55.2,"Aosom","B31-087",NOT PERMITTED — ask supplier,,4,"Spiral Raindrop Crystal Chandelier, Silver 28x28cm","<p>A small crystal chandelier, 20cm across with a fixed 48cm drop, in electroplated silver metal with spiralled crystal droplets. It takes one GU10 bulb up to 50W, hard-wires to a ceiling point and weighs 1.4kg.</p><ul><li>Dimensions: 28 x 28 x 14 cm</li><li>Weight: 1.4kg</li><li>Colour: Silver</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",lighting,FILL,1000,39.00,1,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-LT-SPIRAL-002",,,"Kaiku","Silver","","","Modern",28,28,14,cm,1.4kg,"https://cdn.sanity.io/images/huh1e45n/production/a94a8820dca76f66c7ad7add1d0a065fe369f17b-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/18f1a8618bc1d588b6c717ac1f2fb6d06f5055c9-800x800.jpg | https://cdn.sanity.io/images/huh1e45n/production/0c2a51b3277d69813480be6fa35aed4cb22e3345-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/bbc117685beb780689be6cb84400111b1d509d68-1600x1600.jpg"
29.96,,NO — margin overstated,37.80,54.8,"Aosom","836-046WT",NOT PERMITTED — ask supplier,,4,"Modern Writing Desk with Storage Shelf, White Wood Grain 90x50cm","<p>A writing desk in white wood grain, made from particle board with a laminated finish and an under-desk storage shelf. 90 x 50 x 74cm, weight capacity 80kg.</p><ul><li>Dimensions: 90 x 50 x 74 cm</li><li>Weight: 80kg</li><li>Material: Wood</li><li>Colour: White</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",desks,FILL,1000,69.00,1,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-DESK-WRITING-001",,,"Kaiku","White","Wood","","Modern",90,50,74,cm,80kg,"https://cdn.sanity.io/images/huh1e45n/production/5d15142109c35c70501a050a2057bd0e079f03b1-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/e7a9a2258fca6b746a845303e79d89fb924dcf12-800x800.jpg | https://cdn.sanity.io/images/huh1e45n/production/9b05d2038e05242d53bcb3a91183b0788124ad2e-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/db05985ce3329a4da62162e36c26027e86447fa3-2000x2000.jpg"
11.95,2.99,yes,18.35,54.0,"AW Dropship","WaterF-18",NOT PERMITTED — ask supplier,99,3,"Tabletop Water Feature - Water Pot & Crystal Ball 15x13cm","<p>It embodies a handmade, reclaimed character, making it a sustainable choice for any setting.</p><ul><li>Dimensions: 15 x 13 x 20 cm</li><li>Weight: 0.721kg</li></ul><p>Free UK delivery. Sold by Kaiku.</p>",water-features,FILL,1000,34.00,5,FixedPrice,GTC,Bourne End,SL8 5NF,14,"KK-WATR-TABLETOP-016",5056368360060,,"Kaiku","","","","Rustic",15,13,20,cm,0.721kg,"https://cdn.sanity.io/images/huh1e45n/production/1987eaec8bbcfadd537088416bbddde016961a47-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/e9f228f4c2aca6ebfed1ebe3e54d5c9cb27913a9-2000x2000.jpg | https://cdn.sanity.io/images/huh1e45n/production/19b70b2a4b9e2acef1f6f7865fc2ccf376835926-2000x2000.jpg"
