route,severity,published,supplier,product,finding,how
AUTOMATIC,major,draft,"Hill Interiors","Large Silver Foil Skeleton Wall Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Large Silver Foil Skeleton Wall Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Large Silver Foil Skeleton Wall Clock","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Silver Foil Large Circular Metal Wall Mirror","Filler phrases: adds a touch of, any space, focal point in any","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Silver Foil Large Circular Metal Wall Mirror","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Silver Foil Large Circular Metal Wall Mirror","No retail price.","prices are Damien's — never imported, never guessed"
WRITING,minor,draft,"Hill Interiors","Aged Stone Ceramic Vase","Filler phrases: beautifully crafted, perfect for, adds a touch of, touch of sophistication, your space","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Aged Stone Ceramic Vase","2 FAQs answer nothing (e.g. ""How do I clean the Aged Stone Ceramic Vase?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Aged Stone Ceramic Vase","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DATA,major,draft,"Hill Interiors","Aged Stone Ceramic Vase","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Aged Stone Tall Ceramic Vase","Filler phrases: effortlessly, perfect for, statement piece","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Aged Stone Tall Ceramic Vase","4 FAQs answer nothing (e.g. ""Can I use this vase for holding water?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Aged Stone Tall Ceramic Vase","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DATA,major,draft,"Hill Interiors","Aged Stone Tall Ceramic Vase","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,major,draft,"Hill Interiors","Aged Stone Tall Ceramic Vase","Quotes “the supplier” rather than stating the fact as Kaiku's own.","Tier 2 — restate as Kaiku's own knowledge"
WRITING,minor,draft,"Hill Interiors","Large Conical Ceramic Lattice Hurricane Lantern","Filler phrases: elevate your, effortlessly, perfect for, statement piece","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Large Conical Ceramic Lattice Hurricane Lantern","3 FAQs answer nothing (e.g. ""How long does it burn for?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Large Conical Ceramic Lattice Hurricane Lantern","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DATA,major,draft,"Hill Interiors","Large Conical Ceramic Lattice Hurricane Lantern","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Round Ceramic Lattice Hurricane Lantern","Filler phrases: perfect for, versatile addition, enchanting","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Round Ceramic Lattice Hurricane Lantern","2 FAQs answer nothing (e.g. ""How long does it burn for?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Round Ceramic Lattice Hurricane Lantern","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DATA,major,draft,"Hill Interiors","Round Ceramic Lattice Hurricane Lantern","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Hill Interiors","Large Round Ceramic Lattice Hurricane Lantern","3 FAQs answer nothing (e.g. ""How long does it burn for?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Large Round Ceramic Lattice Hurricane Lantern","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Large Round Ceramic Lattice Hurricane Lantern","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Large Round Ceramic Lattice Hurricane Lantern","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Set Of 3 White Window Style Lanterns With Open Top","Filler phrases: perfect for, your space, enchanting","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Set Of 3 White Window Style Lanterns With Open Top","2 FAQs answer nothing (e.g. ""How long does it burn for?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Set Of 3 White Window Style Lanterns With Open Top","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Set Of 3 White Window Style Lanterns With Open Top","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Set Of 3 White Window Style Lanterns With Open Top","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Naxos Large Antique White Vase","Filler phrases: seamlessly, perfect for, statement piece, any space","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Naxos Large Antique White Vase","2 FAQs answer nothing (e.g. ""Can I return the Naxos vase if it arrives damaged?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Naxos Large Antique White Vase","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Naxos Large Antique White Vase","No retail price.","prices are Damien's — never imported, never guessed"
WRITING,minor,draft,"Hill Interiors","Downton Large Antique White Vase","Filler phrases: seamlessly, statement piece, versatile addition, your space, exquisite","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Downton Large Antique White Vase","1 FAQ answer nothing (e.g. ""Can I use this vase for real flowers?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Downton Large Antique White Vase","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
WRITING,minor,draft,"Hill Interiors","Darcy Antique White Vase","Filler phrases: seamlessly, perfect for, statement piece, versatile addition","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Darcy Antique White Vase","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Darcy Antique White Vase","No retail price.","prices are Damien's — never imported, never guessed"
WRITING,minor,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","Filler phrases: seamlessly, perfect for, whether you, adds a touch of, any space","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","2 FAQs answer nothing (e.g. ""How long does it burn for?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","Filler phrases: seamlessly, perfect for, whether you, any space, wonderful addition","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","2 FAQs answer nothing (e.g. ""How long does it burn for?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","Filler phrases: seamlessly, perfect for, your space, wonderful addition","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","3 FAQs answer nothing (e.g. ""What fragrance notes does it have?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","No retail price.","prices are Damien's — never imported, never guessed"
WRITING,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","The short summary repeats the description's opening.","Tier 2 — summary must not echo the description"
NEEDS DATA,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","2 FAQs answer nothing (e.g. ""How long does it burn for?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED Cream Wax Candle","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Small Antique Brass Skeleton Clock","Filler phrases: perfect for, statement piece, captivating, wonderful addition","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Small Antique Brass Skeleton Clock","3 FAQs answer nothing (e.g. ""Can the clock be hung in portrait or landscape orientation?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Small Antique Brass Skeleton Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Small Antique Brass Skeleton Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Small Antique Brass Skeleton Clock","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Large Antique Brass Large Skeleton Clock","Filler phrases: perfect for, statement piece, your space","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Large Antique Brass Large Skeleton Clock","2 FAQs answer nothing (e.g. ""Are fixings supplied with the clock?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Large Antique Brass Large Skeleton Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Large Antique Brass Large Skeleton Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Large Antique Brass Large Skeleton Clock","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Hill Interiors","Luxe Collection Set Of 6 Natural Glow Led Tealight Candles","3 FAQs answer nothing (e.g. ""Which batteries do the tealight candles take?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Luxe Collection Set Of 6 Natural Glow Led Tealight Candles","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Luxe Collection Set Of 6 Natural Glow Led Tealight Candles","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Luxe Collection Set Of 6 Natural Glow Led Tealight Candles","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Bloomville Urn Stone Vase","Filler phrases: perfect for, adds a touch of, statement piece, any space","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Bloomville Urn Stone Vase","2 FAQs answer nothing (e.g. ""Is the vase watertight?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Bloomville Urn Stone Vase","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Bloomville Urn Stone Vase","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Bloomville Urn Stone Vase","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Bloomville Large Stone Star Lantern","Filler phrases: seamlessly, touch of sophistication, your space","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Bloomville Large Stone Star Lantern","4 FAQs answer nothing (e.g. ""How long does it burn for?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Bloomville Large Stone Star Lantern","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Bloomville Large Stone Star Lantern","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Bloomville Large Stone Star Lantern","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Hill Interiors","Bloomville Stone Star Lantern","2 FAQs answer nothing (e.g. ""What is the burn time for the lantern?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Bloomville Stone Star Lantern","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Bloomville Stone Star Lantern","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Bloomville Stone Star Lantern","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Hill Interiors","Stone Effect Acorn Tea Light Holder","4 FAQs answer nothing (e.g. ""What type of batteries does it take?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Stone Effect Acorn Tea Light Holder","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Stone Effect Acorn Tea Light Holder","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Stone Effect Acorn Tea Light Holder","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Large Stone Effect Acorn Tea Light Holder","Filler phrases: perfect for, your space, captivating, enchanting","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Large Stone Effect Acorn Tea Light Holder","7 FAQs answer nothing (e.g. ""What type of batteries does it take and how many?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Large Stone Effect Acorn Tea Light Holder","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Large Stone Effect Acorn Tea Light Holder","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Large Stone Effect Acorn Tea Light Holder","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Aspen Star Small Tea Light Lantern","Filler phrases: effortlessly, versatile addition, enchanting","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Aspen Star Small Tea Light Lantern","5 FAQs answer nothing (e.g. ""What type of batteries does the lantern require?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Aspen Star Small Tea Light Lantern","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,major,draft,"Hill Interiors","Aspen Star Small Tea Light Lantern","Margin is only 3%.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Aspen Star Small Tea Light Lantern","No carriage cost recorded, so the margin above is optimistic.","supplier carriage terms — §A. AW Dropship weight bands are the blocker"
NEEDS DATA,major,draft,"Hill Interiors","Aspen Star Small Tea Light Lantern","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Hill Interiors","Garda Glazed Gisela Vase","3 FAQs answer nothing (e.g. ""Is the vase watertight? Can it hold water?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Garda Glazed Gisela Vase","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DATA,major,draft,"Hill Interiors","Garda Glazed Gisela Vase","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Black And Gold Skeleton Clock","Filler phrases: seamlessly, perfect for, your space, captivating, focal point in any","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Black And Gold Skeleton Clock","3 FAQs answer nothing (e.g. ""Are the fixings included for hanging?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Black And Gold Skeleton Clock","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Black And Gold Skeleton Clock","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Black And Gold Skeleton Clock","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Square Decorative Hanging Collage Mirror In Silver","Filler phrases: elevate your, effortlessly, perfect for","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Square Decorative Hanging Collage Mirror In Silver","2 FAQs answer nothing (e.g. ""Are fixings supplied with the mirror?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Square Decorative Hanging Collage Mirror In Silver","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
WRITING,minor,draft,"Hill Interiors","Tristan Mirror And Wood Frame","Filler phrases: effortlessly, perfect for, your space, wonderful addition","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Tristan Mirror And Wood Frame","2 FAQs answer nothing (e.g. ""Are fixings supplied for the mirror?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Tristan Mirror And Wood Frame","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DATA,major,draft,"Hill Interiors","Tristan Mirror And Wood Frame","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Tristan Mirror And Wood Frame","Filler phrases: elevate your, seamlessly, perfect for, adds a touch of, your space","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Tristan Mirror And Wood Frame","3 FAQs answer nothing (e.g. ""Are fixings supplied with the mirror frame?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Tristan Mirror And Wood Frame","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DATA,major,draft,"Hill Interiors","Tristan Mirror And Wood Frame","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Hill Interiors","Antique Etched foxed Wall Art Mirror","1 FAQ answer nothing (e.g. ""How do I clean the mirror without damaging it?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Antique Etched foxed Wall Art Mirror","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
WRITING,minor,draft,"Hill Interiors","Garda Glazed Large Regola Vase","Filler phrases: effortlessly, perfect for, statement piece, your space, exquisite","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Garda Glazed Large Regola Vase","1 FAQ answer nothing (e.g. ""How should I clean the vase?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Garda Glazed Large Regola Vase","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Garda Glazed Large Regola Vase","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Garda Glazed Large Regola Vase","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED White Wax Candle","2 FAQs answer nothing (e.g. ""How long does the Luxe Collection Natural Glow ED White Wax "").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED White Wax Candle","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Luxe Collection Natural Glow ED White Wax Candle","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,minor,draft,"Hill Interiors","Luxe Collection Natural Glow ED White Wax Candle","Only 1 image — one angle invites a surprise.","supplier image pack — §E"
NEEDS DATA,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED White Wax Candle","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
WRITING,minor,draft,"Hill Interiors","Luxe Collection Natural Glow ED White Wax Candle","Filler phrases: elevate your, whether you, any space","Tier 2 rewrite"
AUTOMATIC,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED White Wax Candle","2 FAQs answer nothing (e.g. ""How long does the candle burn for?"").","fix-catalogue-tier1.ts --apply"
AUTOMATIC,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED White Wax Candle","Title does not end with “| Kaiku”.","fix-catalogue-tier1.ts --apply"
NEEDS DAMIEN,blocker,draft,"Hill Interiors","Luxe Collection Natural Glow ED White Wax Candle","No retail price.","prices are Damien's — never imported, never guessed"
NEEDS DATA,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED White Wax Candle","The copy admits it does not know something instead of finding it out.","get the fact from sourceUrl, then rewrite. Never invent"
AUTOMATIC,major,draft,"Hill Interiors","Luxe Collection Natural Glow ED White Wax Candle","1 FAQ answer nothing (e.g. ""What fragrance notes does it have?"").","fix-catalogue-tier1.ts --apply"
